,model_name,temperature,prompt_id,paper_id,title,hypothesis,explanation,prompt_tokens,completion_tokens,total_cost_usd,hypotheses
0,o1-mini,1.0,prompt-8,UK2B7DDH,Theoretical Explanations of Increasing Childlessness - Divergent Approaches and the Integrating Potential of the Frame Selection Theory,"The better a family framing of the relationship matches the situation, the less relationship behaviour - including the decision of parenthood - is guided by utility/cost criteria.",This is explicitly stated as Hypothesis 1 (Interaction Hypothesis) in the paper.,,,,
1,o1-mini,1.0,prompt-8,UK2B7DDH,Theoretical Explanations of Increasing Childlessness - Divergent Approaches and the Integrating Potential of the Frame Selection Theory,"A family-framed relationship implies a script for responsible parenthood. Thus, family formation is an imperative, yet the timing is deliberately chosen.",This is explicitly stated as Hypothesis 2 (Script Hypothesis) in the paper.,,,,
2,o1-mini,1.0,prompt-8,Y4PF7SK4,A Turning Point In Italian Fertility,"Postponement was more intense among women having tertiary education, for whom the opportunity cost of maternity is higher.",It posits that higher education levels are associated with greater postponement of first births due to increased opportunity costs.,,,,
3,o1-mini,1.0,prompt-8,Y4PF7SK4,A Turning Point In Italian Fertility,"In an institutional context of limited public funding dedicated to support maternity, women who can count on family help are more likely to recuperate postponed first births.","It hypothesizes that family support compensates for limited public maternity funding, increasing the likelihood of recovering postponed first births.",,,,
4,o1-mini,1.0,prompt-8,Y4PF7SK4,A Turning Point In Italian Fertility,Postponement and recovery depend also on differences due to education in union formation and partner's characteristics.,It proposes that educational differences in union formation and partner characteristics influence the patterns of postponement and recovery of first births.,,,,
5,o1-mini,1.0,prompt-8,C7W6I2EH,Pathways Into Childlessness: Evidence Of Gendered Life Course Dynamics,Educational attainment increases the likelihood that women remain childless.,Formulated by authors based on literature review to test the impact of education on childlessness among women.,,,,
6,o1-mini,1.0,prompt-8,C7W6I2EH,Pathways Into Childlessness: Evidence Of Gendered Life Course Dynamics,Women with continuity of employment are more likely to remain childless than women who have experienced career breaks.,Proposed by authors to examine the specific relationship between employment continuity and childlessness in women.,,,,
7,o1-mini,1.0,prompt-8,C7W6I2EH,Pathways Into Childlessness: Evidence Of Gendered Life Course Dynamics,People who have never had a partner are more likely to remain childless compared with people who have ever had a partner.,Developed by authors to explore the direct impact of never having a partnership on childlessness.,,,,
8,o1-mini,1.0,prompt-8,C7W6I2EH,Pathways Into Childlessness: Evidence Of Gendered Life Course Dynamics,"People who have ever married are less likely to remain childless compared with people who have ever cohabited, but never married.",Formulated to investigate the differential impact of marital history types on childlessness.,,,,
9,o1-mini,1.0,prompt-8,C7W6I2EH,Pathways Into Childlessness: Evidence Of Gendered Life Course Dynamics,"More years without a partner increase the likelihood of remaining childless, and particularly so among women.",Proposed to specifically target the duration without a partner and its gendered effects on childlessness.,,,,
